10238-10790,884506,79,582
10963-13912,883549,101,713
10869-12609,877822,67,792
10748-11200,876065,95,642
10262-15086,851293,82,568
10304-13481,843872,67,358
10397-10704,840033,94,411
10879-11803,836602,94,831
10666-11545,833647,73,720
10595-10379,831467,74,699
10313-11787,830058,64,726
10161-10481,828596,88,663
10185-12105,827515,71,537
10693-12775,824732,82,540
10936-14891,822114,82,605
11119-12703,820768,88,546
10601-11638,804457,44,694
10761-14083,802224,45,373
10304-14129,801989,82,705
10686-14265,795002,62,735
11001-12196,790992,78,450
10549-10886,786771,88,348
11071-10430,784691,86,612
10890-12650,754982,66,336
10885-10534,745155,49,384
10712-12569,740443,72,402
10748-12524,740150,69,756
10618-13432,739523,68,516
10580-11690,732030,66,357
10348-10423,728745,64,480
10101-14802,728672,90,669
10125-11031,722498,65,474
10956-13854,719945,46,531
10850-13107,719852,78,601
10748-12999,713932,98,549
10787-11725,711746,70,393
10238-10045,711510,54,303
10892-10111,710394,67,588
10640-14285,710260,52,403
11106-14400,705295,71,525
10763-10449,701110,85,621
10863-14178,694063,70,418
10815-13594,661678,64,327
10924-12463,652996,63,396
10519-12155,648591,71,705
10863-10402,642687,88,546
10667-14349,633837,85,585
11024-13997,629209,89,558
10273-11709,622891,66,468
10741-11469,622471,77,594
10495-14244,621803,63,388
10078-11374,614746,58,432
10777-10198,594304,40,255
10659-14523,583754,76,543
11030-10730,583340,48,342
10017-13527,581297,30,630
10259-13519,581222,67,440
10896-13866,551248,58,486
10559-10111,545678,58,435
10744-10891,539610,56,372
10956-11817,536315,41,564
10076-10334,524715,73,291
10392-11027,523039,64,525
10315-12834,519065,48,336
10739-12068,512722,67,333
11071-13660,511289,66,384
10911-10841,509425,43,435
10542-11534,506093,78,669
10393-10554,498890,60,420
10547-12272,495538,53,726
10026-10377,492398,69,384
10810-13660,486864,31,702
10896-10542,486861,68,322
10969-13357,485695,45,274
11052-13876,485225,63,273
10869-12603,482841,59,442
10675-10754,479254,73,570
10659-11609,471300,52,489
10601-14407,470134,29,1017
10212-14381,465954,52,414
11126-11042,462216,53,333
10080-11806,454464,65,486
10708-10055,449973,45,558
10549-10360,442283,13,313
10688-12831,440053,66,387
10659-11598,430907,53,546
10629-13994,419790,56,549
10990-10401,417262,49,630
10998-14072,404040,70,486
10796-12964,401236,56,429
10019-11260,401226,55,259
10424-13346,398847,63,426
10728-12760,387274,65,349
10541-10051,386762,58,336
10397-11343,385603,59,381
10858-10515,380065,31,484
10964-11307,378993,37,472
10654-14360,377672,39,294
10490-10557,376938,45,423
10631-10864,371702,39,324
10436-12772,364006,39,577
10317-11134,363636,20,468
11002-13246,354036,57,460
10658-10435,348319,31,433
10072-12395,346892,67,558
10901-14675,346275,24,429
10970-13632,345371,37,300
10778-13947,343772,45,292
10915-14199,342628,46,591
10748-13849,342216,16,540
11065-10478,335859,28,313
10869-12810,331754,42,306
11097-10823,329109,51,234
10998-11383,327563,59,523
10114-14538,319194,29,369
10820-11958,317585,39,468
10607-12369,311891,40,363
10652-13134,307747,50,624
10591-12819,306833,36,272
10424-10212,304144,40,292
10578-10302,304025,48,510
10376-12202,301265,47,432
10304-12281,297315,41,327
10584-11564,289552,41,371
10936-11700,283155,28,396
11067-10924,280123,53,243
10658-11576,268032,36,231
10278-12546,266623,51,348
11023-10193,266501,53,405
10461-13753,256291,70,885
10271-14620,255501,33,615
10537-11583,248872,48,360
10995-14114,248634,41,417
10838-11451,245663,27,471
10675-10789,243729,19,375
10235-13274,239137,21,317
11005-13837,238504,30,531
10665-12508,228448,40,273
10368-13268,224948,17,393
10084-10618,223158,25,309
11106-13595,219662,47,246
11110-14345,218127,9,372
10803-13858,217789,17,277
10457-10364,212875,50,477
10764-13704,204697,35,267
10906-13907,204127,42,542
10777-10200,201899,49,255
10815-10173,201653,25,306
11040-14440,194086,48,373
10684-13285,190915,28,345
10019-13309,187705,17,609
10969-13871,181981,19,210
10956-11351,179559,48,399
10401-11190,176553,39,430
10273-10953,167608,39,252
10293-13819,166891,12,348
10527-12494,162254,45,267
10694-13175,162007,37,501
10619-10911,160441,39,459
10535-14547,159704,15,333
11055-12338,158616,36,438
11067-11877,151869,37,238
10673-11887,150512,9,264
11071-11563,142816,38,201
11026-14489,142651,39,426
11081-14016,141942,25,330
11012-13702,140195,21,435
10963-10290,127889,15,241
10746-14411,124655,26,607
10669-10972,123682,39,456
10640-11860,120713,39,276
11023-12753,119716,21,219
10340-11754,118709,40,366
10574-10697,117728,28,249
10446-11285,116610,37,345
10861-13383,102658,35,417
